"Payment for order #","Оплата счета №"
"You will be redirected to Assist in a few seconds.","Перенаправление на Assist..."
"You will be redirected to Assist website when you place an order.","Оплата происходит автоматически на сайте платежной системы Assist."
"Assist","оплата через Assist"
"Russian","Русский"
"English","Английский"
"Credit Card","Кредитная карта"
"WebMoney Transfer","WebMoney Transfer"
"PayCash","PayCash"
"Assist®ID","Assist®ID"
"(AS000) Authorisation completed","(AS000) Авторизация успешно завершена"
"(AS100) Authorisation refused","(AS100) Отказ в авторизации"
"(AS101) Authorisation refused (invalid card number)","(AS101) Отказ в авторизации (ошибочный номер карты)"
"(AS102) Authorisation refused (limit exceeded)","(AS102) Отказ в авторизации (недостаточно средств)"
"(AS104) Authorisation refused (invalid exparation date)","(AS104) Отказ в авторизации (неверный срок действия карты)"
"(AS105) Authorisation refused (limit exceeded)","(AS105) Отказ в авторизации (превышен лимит)"
"(AS106) Authorisation refused (invalid PIN-code)","(AS106) Отказ в авторизации (неверный PIN)"
"(AS107) Authorisation refused (data transmition error)","(AS107) Отказ в авторизации (ошибка приема данных)"
"(AS108) Authorisation refused (fraud suspicion)","(AS108) Отказ в авторизации (подозрение на мошенничество)"
"(AS109) Authorisation refused (limit exceeded)","(AS109) Отказ в авторизации (превышен лимит операций)"
"(AS200) Authorisation should be repeated","(AS200) Повторите авторизацию"
"(AS998) Internal error","(AS998) Ошибка системы"
"Invalid Assist Shop ID.","Параметр Shop ID не задан."
"Payment for order #%s (retry)","Оплата счета №%s (повторить попытку)"
"Your Assist Shop ID.","Код магазина в системе ASSIST."
"Debug mode also enables demo mode.","Переключение в тестовый режим."
"Which result should return Assist in demo mode.","Код возврата, который должна вернуть система Assist при работе в тестовом режиме."
"Default currency to use if Assist does not support user selected currency. This currency must be enabled in the currency settings.","Валюта, используемая по умолчанию, если система Assist не поддерживает валюту, выбранную пользователем. Выбранная валюта должна быть установлена и настроена в системе Magento."
"Default language to use if Assist does not support user selected language.","Язык, используемый по умолчанию, если система Assist не поддерживает язык, выбранный пользователем."
"Current Version","Текущая версия"
"Secret Word","Секретное слово"
"Shop ID","Идентификатор предприятия"
"Order status when payment accepted","Статус заказа после подтверждения оплаты"
"Order status when payment refused","Статус заказа после неуспешной оплаты "
"Debug Result","Ожидаемый код ответа в тестовом режиме "
"Default Currency","Валюта по умолчанию"
"Default Language","Язык по умолчанию"
"Allowed payment methods","Разрешенные средства платежа"
"Secret word to confirm payments","Секретное слово для подтверждения платежа, настраивается в личном кабинете Assist на странице Настройки мерчантов > Настройки отправки результатов платежей. URL для отправки результатов: http://your-domain/assist/redirect/confirm, метод: POST, тип подписи: md5"
"YandexMoney","Яндекс.Деньги"

